rating_id,tconst,title_id,Avg_Season_Rating,Avg_Season_Votes,Total_Season_Votes,seasonNumber,primaryTitle,episode_1_air_dt
2438,tt0760002,2461,7.4167,510.7917,12259,1,American Dad!,
2550,tt0886728,2573,7.6842,467.5789,8884,2,American Dad!,
2464,tt1225323,2487,7.5625,465.9375,7455,3,American Dad!,
2468,tt1210864,2491,7.3,422.5,8450,4,American Dad!,
2433,tt1539502,2456,7.6667,451,8118,5,American Dad!,
2549,tt1640759,2572,7.4737,404.7368,7690,6,American Dad!,
2559,tt1640748,2582,7.4444,412.6111,7427,7,American Dad!,
2554,tt2424856,2577,7.3684,401,7619,8,American Dad!,
2427,tt3328252,2450,7.3478,414.0435,9523,9,American Dad!,
2458,tt4474866,2481,6.9333,398.7333,5981,10,American Dad!,
2425,tt5372664,2448,7.1818,244.8636,5387,11,American Dad!,
2431,tt7160990,2454,7,205,4510,12,American Dad!,
2474,tt8189180,2497,4.1818,81.3182,1789,13,American Dad!,
2437,tt7860298,2460,0,0,0,14,American Dad!,
2521,tt7860308,2544,0,0,0,15,American Dad!,
2230,tt0821171,2253,8.2222,153.8889,2770,1,Aqua Teen Hunger Force,
2242,tt0815769,2265,8.125,110.3333,2648,2,Aqua Teen Hunger Force,
2233,tt0514086,2256,7.9231,100.0769,1301,3,Aqua Teen Hunger Force,
2248,tt0838338,2271,7.7692,121.0769,1574,4,Aqua Teen Hunger Force,
2232,tt1174760,2255,7.8,74.5,745,5,Aqua Teen Hunger Force,
2241,tt1430867,2264,7.6,64.3,643,6,Aqua Teen Hunger Force,
2229,tt1677103,2252,7.75,56.5833,679,7,Aqua Teen Hunger Force,
2333,tt2007570,2356,7.6,49.1,491,8,Aqua Teen Hunger Force,
2258,tt2399966,2281,8,47.6,476,9,Aqua Teen Hunger Force,
2266,tt3278000,2289,7.6,45.4,454,10,Aqua Teen Hunger Force,
2251,tt4870614,2274,8.1111,48.4444,436,11,Aqua Teen Hunger Force,
3175,tt1622042,3198,8,1178.9091,12968,1,Archer,
3086,tt1833264,3109,8.3077,1041.9231,13545,2,Archer,
3087,tt2202719,3110,8.2308,943.2308,12262,3,Archer,
3100,tt2633152,3123,8,835.3846,10860,4,Archer,
3139,tt3411656,3162,8.1538,765.1538,9947,5,Archer,
3135,tt4327042,3158,8.3077,730.8462,9501,6,Archer,
3154,tt4537958,3177,8.3,665.2,6652,7,Archer,
3090,tt6745220,3113,7.875,526.375,4211,8,Archer,
3085,tt7576238,3108,7.25,355.125,2841,9,Archer,
3091,tt7576244,3114,0,0,0,10,Archer,
858,tt0809647,881,7,114.5,458,1,Beavis and Butt-Head,
722,tt0857501,745,7.5652,87.3913,2010,2,Beavis and Butt-Head,
723,tt0857502,746,7.8571,70.1071,1963,3,Beavis and Butt-Head,
727,tt0861837,750,8.0313,75.9375,2430,4,Beavis and Butt-Head,
725,tt0861835,748,8.02,68.18,3409,5,Beavis and Butt-Head,
721,tt0861845,744,8.0526,105.7895,2010,6,Beavis and Butt-Head,
744,tt0520545,767,8.025,67.475,2699,7,Beavis and Butt-Head,
824,tt2112382,847,8.0833,134.3333,1612,8,Beavis and Butt-Head,
3495,tt7111310,3518,7.8,851.6,8516,1,Big Mouth,
3492,tt7808476,3515,8.2,489.6,4896,2,Big Mouth,
3498,tt9307142,3521,0,0,0,3,Big Mouth,
3195,tt1645218,3218,7.4286,635.9286,8903,1,Bob's Burgers,
3197,tt2020389,3220,8.1111,579.4444,5215,2,Bob's Burgers,
3267,tt2733872,3290,8.1304,512.1304,11779,3,Bob's Burgers,
3249,tt3211834,3272,8.0455,440.0455,9681,4,Bob's Burgers,
3247,tt4622318,3270,8.1429,386.2381,8111,5,Bob's Burgers,
3250,tt5509096,3273,8.0526,337.7895,6418,6,Bob's Burgers,
3317,tt5096560,3340,8.0455,294.0909,6470,7,Bob's Burgers,
3201,tt7635808,3224,8,240.3,4806,8,Bob's Burgers,
3200,tt9413734,3223,5.0526,98.4737,1871,9,Bob's Burgers,
3477,tt3981116,3500,7.75,1804.8333,21658,1,BoJack Horseman,
3432,tt4835752,3455,8,1560.4615,20286,2,BoJack Horseman,
3436,tt5218432,3459,8.0833,1790.1667,21482,3,BoJack Horseman,
3430,tt6542628,3453,8.5,1791.8333,21502,4,BoJack Horseman,
3431,tt7484892,3454,8.8333,1631.5,19578,5,BoJack Horseman,
3440,tt9207160,3463,0,0,0,6,BoJack Horseman,
2133,tt4613196,2156,7,16.1538,210,1,Celebrity Deathmatch,
2129,tt4831724,2152,6.0476,11.5714,243,2,Celebrity Deathmatch,
2146,tt0537949,2169,6.08,10.84,271,3,Celebrity Deathmatch,
2130,tt4925370,2153,6.2105,7.8421,149,4,Celebrity Deathmatch,
2162,tt0823874,2185,6.375,16.125,129,5,Celebrity Deathmatch,
2137,tt0898461,2160,6.5,14.625,117,6,Celebrity Deathmatch,
1048,tt0772448,1071,8.1538,166.9231,2170,1,Daria,
1046,tt0554538,1069,8.2308,133.4615,1735,2,Daria,
1052,tt0554543,1075,7.9231,126.0769,1639,3,Daria,
1045,tt0554535,1068,8.0769,114.3077,1486,4,Daria,
1043,tt0772447,1066,8.2308,118.6154,1542,5,Daria,
1822,tt0576927,1845,7.75,1467.75,11742,1,Family Guy,
1803,tt0576926,1826,7.7143,1279.381,26867,2,Family Guy,
1827,tt0576946,1850,7.7727,1144.0909,25170,3,Family Guy,
1804,tt0789409,1827,7.8333,1082.1333,32464,4,Family Guy,
1878,tt0888819,1901,7.6667,1048.4444,18872,5,Family Guy,
1873,tt0994165,1896,7.4167,1496.5,17958,6,Family Guy,
1986,tt1329661,2009,7.5,1124.375,17990,7,Family Guy,
1840,tt1610750,1863,7.3333,1247,26187,8,Family Guy,
1837,tt1610753,1860,7.2778,1450.0556,26101,9,Family Guy,
1807,tt2400669,1830,7.2609,966.7391,22235,10,Family Guy,
1802,tt2289608,1825,7.0909,836.2727,18398,11,Family Guy,
2063,tt3683128,2086,6.4286,973.2381,20438,12,Family Guy,
1987,tt4118580,2010,7,907.5,16335,13,Family Guy,
1994,tt4863498,2017,7.1,640.15,12803,14,Family Guy,
1798,tt6327752,1821,7.1,560.1,11202,15,Family Guy,
1900,tt7480026,1923,6.2174,552.913,12717,16,Family Guy,
1823,tt8407532,1846,4.0556,254.4444,4580,17,Family Guy,
1677,tt0584423,1700,8.1111,1736.3333,15627,1,Futurama,
1674,tt0584445,1697,8.1,1398,27960,2,Futurama,
1681,tt0584443,1704,8.1333,1427.3333,21410,3,Futurama,
1684,tt0584440,1707,8.1667,1331.4167,15977,4,Futurama,
1680,tt0584444,1703,8.25,1437.1875,22995,5,Futurama,
1675,tt1642360,1698,7.7692,1071.8462,27868,6,Futurama,
1678,tt2005623,1701,7.6154,893.9231,23242,7,Futurama,
1210,tt0620234,1233,7.9167,278.8333,3346,1,King of the Hill,
1168,tt0620200,1191,7.913,204.6087,4706,2,King of the Hill,
1108,tt0620218,1131,7.88,186.08,4652,3,King of the Hill,
1118,tt0620189,1141,8,168.9583,4055,4,King of the Hill,
1127,tt0620188,1150,7.95,157.95,3159,5,King of the Hill,
1124,tt0620203,1147,8,147.7143,3102,6,King of the Hill,
1117,tt0620202,1140,7.5217,125.6522,2890,7,King of the Hill,
1169,tt0620221,1192,7.7727,129.7727,2855,8,King of the Hill,
1166,tt0620199,1189,7.7333,114.6667,1720,9,King of the Hill,
1129,tt0819188,1152,7.6,109.3333,1640,10,King of the Hill,
1119,tt1037479,1142,7.3333,117.6667,1412,11,King of the Hill,
1112,tt1224967,1135,7.4545,120.2273,2645,12,King of the Hill,
1110,tt1508510,1133,7.25,125.9167,3022,13,King of the Hill,
3011,tt0911917,3034,8.1,130,2600,1,Metalocalypse,
2985,tt1262302,3008,8.3,73.95,1479,2,Metalocalypse,
2993,tt1733921,3016,8.4,60.9,609,3,Metalocalypse,
2991,tt2362393,3014,8.0833,50.9167,611,4,Metalocalypse,
2990,tt5487490,3013,9,40,40,5,Metalocalypse,
3401,tt4057144,3424,7.1818,104.6364,1151,1,Mr. Pickles,
3399,tt5714046,3422,7.9,64.7,647,2,Mr. Pickles,
3410,tt7863126,3433,7.8,36.4,364,3,Mr. Pickles,
3385,tt3333846,3408,8.5455,7199.1818,79191,1,Rick and Morty,
3373,tt4832262,3396,8.5,7044.3,70443,2,Rick and Morty,
3364,tt5218370,3387,6.6923,6372.5385,82843,3,Rick and Morty,
3369,tt7446798,3392,0,0,0,4,Rick and Morty,
2691,tt0687789,2714,7.3478,169.3913,3896,1,Robot Chicken,
2687,tt0809782,2710,7.4286,118.7143,2493,2,Robot Chicken,
2688,tt1154571,2711,7.5,84.3,1686,3,Robot Chicken,
2770,tt1507822,2793,7.65,75.35,1507,4,Robot Chicken,
2684,tt2105818,2707,7.25,68.55,1371,5,Robot Chicken,
2697,tt2138969,2720,7.2381,61.8571,1299,6,Robot Chicken,
2749,tt4263026,2772,7,62.05,1241,7,Robot Chicken,
2764,tt5314602,2787,7.1,48.7,974,8,Robot Chicken,
2689,tt8530658,2712,7.2381,40.9048,859,9,Robot Chicken,
1399,tt0705941,1422,8.1429,1949.9286,27299,1,South Park,
1400,tt0705942,1423,8.0556,1689.2778,30407,2,South Park,
1373,tt0705938,1396,8,1633.8824,27776,3,South Park,
1408,tt0705951,1431,8.1765,1600.1765,27203,4,South Park,
1392,tt0705935,1415,8.4286,2092.4286,29294,5,South Park,
1381,tt0705968,1404,8.4706,1837.5294,31238,6,South Park,
1366,tt0705936,1389,8.4667,1800.1333,27002,7,South Park,
1372,tt0705970,1395,8.7143,2062.8571,28880,8,South Park,
1401,tt0705943,1424,8.5714,1935.1429,27092,9,South Park,
1563,tt0887071,1586,8.3571,2257.5,31605,10,South Park,
1385,tt0983724,1408,8.5714,2211.9286,30967,11,South Park,
1467,tt1198003,1490,8.1429,1771.2143,24797,12,South Park,
1368,tt1546329,1391,8.1429,1743.5714,24410,13,South Park,
1369,tt1742995,1392,8.2143,1647.4286,23064,14,South Park,
1558,tt2085523,1581,7.7857,1527.5714,21386,15,South Park,
1447,tt2128142,1470,7.6429,1442.8571,20200,16,South Park,
1535,tt3169686,1558,8.2,1641,16410,17,South Park,
1449,tt4063638,1472,8,1667.6,16676,18,South Park,
1456,tt5034922,1479,8.2,1664.8,16648,19,South Park,
1488,tt4197088,1511,7.7,1211.1,12111,20,South Park,
1472,tt4847050,1495,7.3,1278.2,12782,21,South Park,
1451,tt8653062,1474,7.8,960,9600,22,South Park,
1367,tt8660722,1390,0,0,0,23,South Park,
932,tt0706062,955,7.5,32.9,329,1,Space Ghost Coast to Coast,
930,tt0706064,953,7.5556,25,225,2,Space Ghost Coast to Coast,
933,tt0706061,956,7.1333,21,315,3,Space Ghost Coast to Coast,
931,tt0706063,954,7.625,21.5,516,4,Space Ghost Coast to Coast,
953,tt0706080,976,7.5833,19.5833,235,5,Space Ghost Coast to Coast,
935,tt0706059,958,8,23.375,187,6,Space Ghost Coast to Coast,
939,tt0706055,962,5.75,21.375,171,7,Space Ghost Coast to Coast,
929,tt0706065,952,7.4,20.4,102,8,Space Ghost Coast to Coast,
967,tt0706048,990,8,14,28,9,Space Ghost Coast to Coast,
972,tt7018692,995,0,0,0,10,Space Ghost Coast to Coast,
1011,tt7018980,1034,0,0,0,11,Space Ghost Coast to Coast,
2955,tt0827965,2978,8.3333,36,216,1,Squidbillies,
2894,tt1101494,2917,8.2857,24.0714,337,2,Squidbillies,
2890,tt1264750,2913,8.15,16.65,333,3,Squidbillies,
2891,tt1461355,2914,8.3,11,110,4,Squidbillies,
2943,tt1682072,2966,7.6,13,130,5,Squidbillies,
2942,tt2075938,2965,7.9,12.1,121,6,Squidbillies,
2919,tt2309818,2942,7.1667,11.3333,68,7,Squidbillies,
2893,tt3346124,2916,7.4444,9,81,8,Squidbillies,
2895,tt4117102,2918,7.6,12.1,121,9,Squidbillies,
2874,tt5974514,2897,7.1111,12.5556,113,10,Squidbillies,
2870,tt7741392,2893,6.5,9,90,11,Squidbillies,
2877,tt8457282,2900,0,0,0,12,Squidbillies,
3069,tt1321770,3092,8.1818,60,660,1,Superjail!,
3048,tt1884044,3071,7.9,33.8,338,2,Superjail!,
3049,tt2432122,3072,8.1,25.7,257,3,Superjail!,
3052,tt3841528,3075,8.3333,18.8333,113,4,Superjail!,
2372,tt0783324,2395,7.75,214.3125,3429,1,The Boondocks,
2369,tt0903225,2392,8.4,157.8,2367,2,The Boondocks,
2384,tt1683780,2407,8.2667,134.5333,2018,3,The Boondocks,
2370,tt3711132,2393,7.2,106.1,1061,4,The Boondocks,
690,tt0786215,713,8.3333,131.6667,790,1,The Ren & Stimpy Show,
666,tt1091090,689,8.25,87.6667,1052,2,The Ren & Stimpy Show,
671,tt1143611,694,7.6,50.2,502,3,The Ren & Stimpy Show,
668,tt1135430,691,7.2308,42.0769,547,4,The Ren & Stimpy Show,
669,tt1135431,692,7.3636,38.5455,424,5,The Ren & Stimpy Show,
37,tt0756398,60,7.9231,2550,33150,1,The Simpsons,
8,tt0766140,31,8.0909,2031.5909,44695,2,The Simpsons,
4,tt0763042,27,8.25,1855.875,44541,3,The Simpsons,
5,tt0764185,28,8.3182,1918.5909,42209,4,The Simpsons,
28,tt0773645,51,8.5,1817.6364,39988,5,The Simpsons,
40,tt0757016,63,8.44,1796.56,44914,6,The Simpsons,
1,tt0177842,24,8.44,1688.52,42213,7,The Simpsons,
45,tt0757021,68,8.28,1765.96,44149,8,The Simpsons,
16,tt0763039,39,7.92,1431.92,35798,9,The Simpsons,
24,tt0769411,47,7.6087,1271.087,29235,10,The Simpsons,
10,tt0767439,33,7.2727,1145.0909,25192,11,The Simpsons,
2,tt0763040,25,7.4286,1128.0476,23689,12,The Simpsons,
34,tt0763038,57,7.1818,986.2273,21697,13,The Simpsons,
3,tt0763041,26,7.0909,929.2273,20443,14,The Simpsons,
57,tt0763027,80,7,901.1818,19826,15,The Simpsons,
35,tt0763036,58,6.9524,868.9048,18247,16,The Simpsons,
33,tt0773649,56,7,889.4091,19567,17,The Simpsons,
89,tt0831239,112,6.9545,946.8636,20831,18,The Simpsons,
411,tt1206071,434,7,933.5,18670,19,The Simpsons,
427,tt1289258,450,6.8571,902.1429,18945,20,The Simpsons,
490,tt1629162,513,6.8696,785.6522,18070,21,The Simpsons,
479,tt1628658,502,6.7273,739.5,16269,22,The Simpsons,
309,tt2063514,332,6.8182,837.3182,18421,23,The Simpsons,
275,tt2533218,298,6.7273,648.8636,14275,24,The Simpsons,
303,tt2930940,326,7,724.0455,15929,25,The Simpsons,
321,tt2107523,344,6.8182,693.4545,15256,26,The Simpsons,
343,tt4932900,366,7,632.1364,13907,27,The Simpsons,
276,tt5951430,299,6.7273,495.9545,10911,28,The Simpsons,
322,tt6890620,345,6.9524,453.4286,9522,29,The Simpsons,
36,tt9652758,59,3.9,153.4,3068,30,The Simpsons,
