,series_id,title,seasons,avg_rating,votes
0,2861424,Rick and Morty,4,9.3,250281
1,0101178,The Ren & Stimpy Show,5,7.5,18960
2,0105950,Beavis and Butt-Head,8,7.5,24928
3,0111873,̠on Flux,3,7.8,4902
4,0208614,Celebrity Deathmatch,6,6.9,8569
5,0118298,Daria,5,8.1,21245
6,0121955,South Park,23,8.7,294701
7,0182576,Family Guy,17,8.2,278695
8,0397306,American Dad!,15,7.4,104001
9,0118375,King of the Hill,13,7.3,41175
10,0108937,Space Ghost Coast to Coast,11,8.0,5128
11,0149460,Futurama,7,8.5,190833
12,0297494,Aqua Teen Hunger Force,11,7.7,20935
13,1486217,Archer,10,8.7,120579
14,0373732,The Boondocks,4,8.4,24080
15,0839188,Metalocalypse,5,8.3,14233
16,0437745,Robot Chicken,9,7.8,36879
17,0457146,Squidbillies,12,6.6,5643
18,1031283,Superjail!,4,7.8,5525
19,6524350,Big Mouth,3,8.1,31868
20,1561755,Bob's Burgers,9,8.1,54327
21,3398228,BoJack Horseman,6,8.5,65189
22,2950342,Mr. Pickles,3,7.4,5314
23,0417373,The Venture Bros.,7,8.5,21564
24,0096697,The Simpsons,30,8.7,326280
25,0118475,Spawn,3,8.1,6471
